"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","MEN","YR","A","2020",20.3,
"AUT","LIFEEXP65","MEN","YR","A","2020",17.9,
"BEL","LIFEEXP65","MEN","YR","A","2020",17.6,
"CAN","LIFEEXP65","MEN","YR","A","2020",19.4,
"CZE","LIFEEXP65","MEN","YR","A","2020",15.2,
"DNK","LIFEEXP65","MEN","YR","A","2020",18.4,
"FIN","LIFEEXP65","MEN","YR","A","2020",18.8,
"FRA","LIFEEXP65","MEN","YR","A","2020",19,
"DEU","LIFEEXP65","MEN","YR","A","2020",18,
"GRC","LIFEEXP65","MEN","YR","A","2020",18.5,
"HUN","LIFEEXP65","MEN","YR","A","2020",14,
"ISL","LIFEEXP65","MEN","YR","A","2020",20.3,
"IRL","LIFEEXP65","MEN","YR","A","2020",19.4,
"ITA","LIFEEXP65","MEN","YR","A","2020",18.3,
"JPN","LIFEEXP65","MEN","YR","A","2020",20.1,
"KOR","LIFEEXP65","MEN","YR","A","2020",19.2,
"LUX","LIFEEXP65","MEN","YR","A","2020",18.5,
"MEX","LIFEEXP65","MEN","YR","A","2020",16.7,
"NLD","LIFEEXP65","MEN","YR","A","2020",18.2,
"NZL","LIFEEXP65","MEN","YR","A","2020",19.8,
"NOR","LIFEEXP65","MEN","YR","A","2020",19.8,
"POL","LIFEEXP65","MEN","YR","A","2020",14.6,
"PRT","LIFEEXP65","MEN","YR","A","2020",17.8,
"SVK","LIFEEXP65","MEN","YR","A","2020",14.8,
"ESP","LIFEEXP65","MEN","YR","A","2020",18.4,
"SWE","LIFEEXP65","MEN","YR","A","2020",18.9,
"CHE","LIFEEXP65","MEN","YR","A","2020",19.3,
"GBR","LIFEEXP65","MEN","YR","A","2020",18,
"USA","LIFEEXP65","MEN","YR","A","2020",17,
"BRA","LIFEEXP65","MEN","YR","A","2020",17.3,
"CHL","LIFEEXP65","MEN","YR","A","2020",18.6,
"EST","LIFEEXP65","MEN","YR","A","2020",15.9,
"ISR","LIFEEXP65","MEN","YR","A","2020",19.2,
"SVN","LIFEEXP65","MEN","YR","A","2020",16.9,
"LVA","LIFEEXP65","MEN","YR","A","2020",14,
"LTU","LIFEEXP65","MEN","YR","A","2020",13.6,
"CRI","LIFEEXP65","MEN","YR","A","2020",18.8,
"COL","LIFEEXP65","MEN","YR","A","2020",17.4,
"BGR","LIFEEXP65","MEN","YR","A","2020",12.9,
"HRV","LIFEEXP65","MEN","YR","A","2020",15.1,
"ROU","LIFEEXP65","MEN","YR","A","2020",13.4,
