"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1960",11778.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1961",11503.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1962",11680.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1963",11642.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1964",11872.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1965",11603.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1966",11631.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1967",11557.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1968",11778,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1969",11610.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1970",11883.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1971",11505,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1972",11055.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1973",10839.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1974",10982,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1975",10056.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1976",9807.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1977",9517,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1978",9188.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1979",8761.5,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1980",8545.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1981",8201.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1982",8211.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1983",7778.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1984",7666.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1985",7648.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1986",7223.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1987",7160,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1988",6993.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1989",6953,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1990",6550.3,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1991",6234.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1992",6161.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1993",5847.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1994",5847.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1995",5669.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1996",5585.2,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1997",5444.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1998",5307.6,"B"
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","1999",5178.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2000",5000.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2001",4743.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2002",4639.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2003",4504.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2004",4373.4,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2006",4237.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2007",4140.1,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2008",4080.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2009",4027.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2010",3909.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2011",3848.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2012",3678.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2013",3666.8,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2014",3691.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2015",3724.9,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2016",3603.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2017",3567.7,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2018",3478.6,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2019",3664.5,
"AUS","YRLIFELOST","TOT","100000HAB_0_69","A","2020",3408.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1960",14084.8,
"AUT","YRLIFELOST","TOT","100000HAB_0_69","A","1961",13139.2,
