"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","WOMEN","YR","A","2020",23,
"AUT","LIFEEXP65","WOMEN","YR","A","2020",21,
"BEL","LIFEEXP65","WOMEN","YR","A","2020",20.8,
"CAN","LIFEEXP65","WOMEN","YR","A","2020",22.1,
"CZE","LIFEEXP65","WOMEN","YR","A","2020",19.1,
"DNK","LIFEEXP65","WOMEN","YR","A","2020",21.2,
"FIN","LIFEEXP65","WOMEN","YR","A","2020",22.2,
"FRA","LIFEEXP65","WOMEN","YR","A","2020",23.1,
"DEU","LIFEEXP65","WOMEN","YR","A","2020",21.2,
"GRC","LIFEEXP65","WOMEN","YR","A","2020",21.4,
"HUN","LIFEEXP65","WOMEN","YR","A","2020",17.9,
"ISL","LIFEEXP65","WOMEN","YR","A","2020",22,
"IRL","LIFEEXP65","WOMEN","YR","A","2020",21.9,
"ITA","LIFEEXP65","WOMEN","YR","A","2020",21.7,
"JPN","LIFEEXP65","WOMEN","YR","A","2020",24.9,
"KOR","LIFEEXP65","WOMEN","YR","A","2020",23.6,
"LUX","LIFEEXP65","WOMEN","YR","A","2020",21.8,
"MEX","LIFEEXP65","WOMEN","YR","A","2020",18.7,
"NLD","LIFEEXP65","WOMEN","YR","A","2020",20.7,
"NZL","LIFEEXP65","WOMEN","YR","A","2020",22.1,
"NOR","LIFEEXP65","WOMEN","YR","A","2020",22.1,
"POL","LIFEEXP65","WOMEN","YR","A","2020",19.2,
"PRT","LIFEEXP65","WOMEN","YR","A","2020",21.6,
"SVK","LIFEEXP65","WOMEN","YR","A","2020",18.9,
"ESP","LIFEEXP65","WOMEN","YR","A","2020",22.4,
"SWE","LIFEEXP65","WOMEN","YR","A","2020",21.4,
"CHE","LIFEEXP65","WOMEN","YR","A","2020",22.2,
"GBR","LIFEEXP65","WOMEN","YR","A","2020",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2020",19.8,
"BRA","LIFEEXP65","WOMEN","YR","A","2020",20.6,
"CHL","LIFEEXP65","WOMEN","YR","A","2020",22,
"EST","LIFEEXP65","WOMEN","YR","A","2020",21.1,
"ISR","LIFEEXP65","WOMEN","YR","A","2020",22,
"SVN","LIFEEXP65","WOMEN","YR","A","2020",20.6,
"LVA","LIFEEXP65","WOMEN","YR","A","2020",19.1,
"LTU","LIFEEXP65","WOMEN","YR","A","2020",19.1,
"CRI","LIFEEXP65","WOMEN","YR","A","2020",21.4,
"COL","LIFEEXP65","WOMEN","YR","A","2020",20,
"BGR","LIFEEXP65","WOMEN","YR","A","2020",17.1,
"HRV","LIFEEXP65","WOMEN","YR","A","2020",18.8,
"ROU","LIFEEXP65","WOMEN","YR","A","2020",17.7,
